Autoridad,Expediente,Destino,Fecha_salida,Fecha_llegada,Viaticos_dolar,Viaticos_pesos,Viaticos_euro,Motivo,Bloque,Viaticos_Total_Pesos,Viaticos_Total_Dolar
"FILMUS, Daniel Fernando",HSN-3573/2012,Canadá,21-10-2012,26-10-2012,2100.0,0.0,0.0,Asamblea de la Unión Interparlamentaria,PJ Frente para la Victoria,10185.0,2091.3757700205338
"GIUSTINIANI, Rubén Héctor",HSN-3573/2012,Canadá,16-10-2012,28-10-2012,2100.0,0.0,0.0,Asamblea de la Unión Interparlamentaria,Partido Socialista,9954.0,2100.0
"GIUSTINIANI, Rubén Héctor",HSN-4160/2012,México,11-10-2012,15-10-2012,1250.0,0.0,0.0,Reunión COPPAL,Partido Socialista,5912.500000000001,1250.0
"LATORRE, Roxana",HSN-3573/2012,Canadá,14-10-2012,28-10-2012,2100.0,0.0,0.0,Asamblea de la Unión Interparlamentaria,Federalismo Santafesino,10185.0,2091.3757700205338
"ESCUDERO, Sonia Margarita",HSN-3573/2012,Canadá,18-10-2012,28-10-2012,2100.0,0.0,0.0,Asamblea de la Unión Interparlamentaria,Justicialista 8 de Octubre,9954.0,2100.0
"IRRÁZABAL, Juan Manuel",HSN-3830/2012,Canadá,19-10-2012,23-10-2012,1500.0,0.0,0.0,Asamblea Reuniones Conexas,PJ Frente para la Victoria,7125.0,1500.0
"CORREGIDO, Elena Mercedes",HSN 4025/2012,Venezuela,05-10-2012,09-10-2012,1250.0,0.0,0.0,Elección Presidencial Venezuela,PJ Frente para la Victoria,5900.0,1250.0
"MORANDINI, Norma Elena",HSN 4561/2012,Estados Unidos,03-11-2012,10-11-2012,2100.0,0.0,0.0,Diálogo Argentino Americano en el marco del próximo proceso electoral en dicho país,Frente Cívico de la Provincia de Córdoba,10185.0,2091.3757700205338
"NIKISCH, Roy Abelardo",HSN 4561/2012,Estados Unidos,03-11-2012,09-11-2012,1800.0,0.0,0.0,Diálogo Argentino Americano en el marco del próximo proceso electoral en dicho país,Unión Cívica Radical,8730.0,1792.6078028747434
"LOPEZ, Osvaldo Ramón",HSN 4159/2012,Estados Unidos,01-11-2012,03-11-2012,900.0,0.0,0.0,Diálogo Argentino Americano en el marco del próximo proceso electoral en dicho país,Frente Cívico de la Provincia de Córdoba,4302.0,900.0
"ESCUDERO, Sonia Margarita",HSN 4531/2012,España,06-11-2012,12-11-2012,0.0,0.0,2100.0,Eurolat,Justicialista 8 de Octubre,13272.0,2725.2566735112937
"ROJKES DE ALPEROVICH, Beatriz",HSN 4520/2012,España,07-11-2012,13-11-2012,0.0,0.0,2100.0,Eurolat,PJ Frente para la Victoria,13020.0,2723.849372384937
"BIANCALANI, Fabio Dario",HSN 4531/2012,España,07-11-2012,13-11-2012,0.0,0.0,2100.0,Eurolat,PJ Frente para la Victoria,13020.0,2723.849372384937
"RODRÍGUEZ SAÁ, Adolfo",HSN 4531/2012,España,07-11-2012,14-11-2012,0.0,0.0,2100.0,Eurolat,Justicialista San Luis,13020.0,2723.849372384937
"GODOY, Ruperto Eduardo",HSN 4571/2012,Francia,06-11-2012,13-11-2012,0.0,0.0,2100.0,Jornada Diferencias y Similitudes Crisis Europea 2012 y Crisis Argentina 2001,PJ Frente para la Victoria,13272.0,2725.2566735112937
"IRRÁZABAL, Juan Manuel",HSN 4571/2012,Francia,06-11-2012,13-11-2012,0.0,0.0,2100.0,"Jornada Diferencias y Similitudes Crisis Europea 2012 y
Crisis Argentina 2001",PJ Frente para la Victoria,13272.0,2725.2566735112937
"PERSICO, Daniel Raúl",HSN 4971/2012,Cuba,30-11-2012,09-12-2012,800.0,0.0,0.0,Coloquio Internacional por la Libertad de los Cinco,PJ Frente para la Victoria,3879.9999999999995,800.0
"CORRADI DE BELTRAN, Ana María",HSN 5028/2012,México,30-11-2012,05-12-2012,1500.0,0.0,0.0,Reunión Confederación Parlamentaria de las Américas,PJ Frente para la Victoria,7274.999999999999,1500.0
"ITÚRREZ de CAPPELLINI, Ada Rosa Del Valle",HSN 5028/2012,México,30-11-2012,05-12-2012,1500.0,0.0,0.0,Reunión Confederación Parlamentaria de las Américas,Frente Cívico por Santiago,7274.999999999999,1500.0
"ESCUDERO, Sonia Margarita",HSN 5147/2012,Panamá,30-11-2012,03-12-2012,1000.0,0.0,0.0,Parlatino,Justicialista 8 de Octubre,4850.0,1000.0000000000001
"HIGONET, María de los Ángeles",HSN 5147/2012,Panamá,30-11-2012,03-12-2012,1000.0,0.0,0.0,Parlatino,PJ La Pampa,4850.0,1000.0000000000001
"CORREGIDO, Elena Mercedes",HSN 4851/2012,Italia,06-12-2012,12-12-2012,0.0,0.0,2100.0,Asamblea Consultiva de Parlamentarios para la Corte Penal Internacional y el Estado de Derecho,PJ Frente para la Victoria,13272.0,2730.864197530864
"GONZÁLEZ, Pablo Gerardo",HSN 4851/2012,Italia,06-12-2012,12-12-2012,0.0,0.0,2100.0,Asamblea Consultiva de Parlamentarios para la Corte Penal Internacional y el Estado de Derecho,PJ Frente para la Victoria,13272.0,2730.864197530864
"FERNÁNDEZ, Aníbal Domingo",HSN 5279/2012,Suecia,10-12-2012,14-12-2012,0.0,0.0,1500.0,XXVI Confederación Mundial de ILGA,PJ Frente para la Victoria,9480.0,1946.611909650924
