Autoridad,Expediente,Destino,Fecha_salida,Fecha_llegada,Viaticos_pesos,Viaticos_dolar,Viaticos_euro,Motivo
"RODRIGUEZ SAA, Adolfo",HSN 1569 2014,Uruguay,06-04-2014,07-04-2014,3200.0,0.0,0.0,Reunión Extraordinaria MERCOSUR
"GIMENEZ, Sandra Daniela",HSN 1569 2014,Uruguay,07-04-2014,07-04-2014,1600.0,0.0,0.0,Reunión Extraordinaria MERCOSUR
"GIUSTINIANI, Rubén",HSN 1569 2014,Uruguay,07-04-2014,07-04-2014,1600.0,0.0,0.0,Reunión Extraordinaria MERCOSUR
"MONTERO, Laura Gisela",HSN 1569 2014,Uruguay,07-04-2014,07-04-2014,1600.0,0.0,0.0,Reunión Extraordinaria MERCOSUR
"ROLDAN, José María",HSN 1569 2014,Uruguay,07-04-2014,07-04-2014,1600.0,0.0,0.0,Reunión Extraordinaria MERCOSUR
"CABRAL,Salvador",HSN 2038/2014,Uruguay,28-04-2014,28-04-2014,1600.0,0.0,0.0,MERCOSUR
"ROLDAN, José María",HSN 2007 2014,Cuba,04-05-2014,10-05-2014,0.0,1400.0,0.0,Feria Internacional del Turismo
"URTUBEY, Rodolfo Julio",HSN 2048 2014,Corea,05-05-2014,13-05-2014,0.0,2100.0,0.0,Conferencia Mundial sobre Parlamento Electrónico
"MAYANS, José Miguel Angel",HSN 2264 2014,Uruguay,11-05-2014,13-05-2014,4800.0,0.0,0.0,MERCOSUR
"GIMENEZ, Sandra Daniela",HSN 2264 2014,Uruguay,12-05-2014,12-05-2014,1600.0,0.0,0.0,MERCOSUR
"MONTERO, Laura Gisela",HSN 2334 2014,Chile,18-05-2014,19-05-2014,3221.0,0.0,0.0,MERCOSUR
"GARRAMUÑO, Jorge",HSN 2226 2014,St. Maarten,20-05-2014,27-05-2014,0.0,1400.0,0.0,PARLATINO
"NEGRE DE ALONSO, Liliana",HSN 2226 2014,St. Maarten,21-05-2014,27-05-2014,0.0,1400.0,0.0,PARLATINO
"HIGONET, María de los Angeles",HSN 2226 2014,St. Maarten,22-05-2014,25-05-2014,0.0,800.0,0.0,PARLATINO
"LATORRE, Roxana",HSN 2512 2014,Suiza,22-05-2014,06-06-2014,0.0,0.0,2100.0,OIT
"MORALES, Gerardo",HSN 2357 2014,Suiza,29-05-2014,17-06-2014,0.0,0.0,2100.0,OIT
"BERTONE, Rosana",HSN 2357 2014,Suiza,01-06-2014,07-06-2014,0.0,0.0,2100.0,OIT
"DE LA ROSA, María Graciela",HSN 2357 2014,Suiza,01-06-2014,07-06-2014,0.0,0.0,2100.0,OIT
"ITURREZ DE CAPPELLINI, Liliana Beatriz",HSN 2672 2014,Panamá,01-06-2014,04-06-2014,0.0,1000.0,0.0,Red Continental de Difusión Parlamentaria
"GONZALEZ, Pablo Gerardo",HSN 2357 2014,Suiza,01-06-2014,09-06-2014,0.0,0.0,2100.0,OIT
"HIGONET, María de los Angeles",HSN 2357 2014,Suiza,01-06-2014,10-06-2014,0.0,0.0,2100.0,OIT
"KUNATH, Sigrid",HSN 2357 2014,Suiza,01-06-2014,10-06-2014,0.0,0.0,2100.0,OIT
"NEGRE DE ALONSO, Liliana",HSN 2357 2014,Suiza,01-06-2014,07-06-2014,0.0,0.0,2100.0,OIT
"IRRAZABAL, Juan",HSN 2456 2014,Irán,02-06-2014,09-06-2014,0.0,2100.0,0.0,Aniversario Fallecimiento de Imam Khomeini
"GIUSTINIANI, Rubén",HSN 2357 2014,Suiza,04-06-2014,12-06-2014,0.0,0.0,2100.0,OIT
"ARTAZA, Eugenio",HSN 2357 2014,Suiza,08-06-2014,13-06-2014,0.0,0.0,1800.0,OIT
"ITURREZ DE CAPPELLINI, Liliana Beatriz",HSN 2717 2014,Uruguay,08-06-2014,09-06-2014,3238.0,0.0,0.0,MERCOSUR
"GODOY, Ruperto",HSN 2814 2014,Estados Unidos,08-06-2014,12-06-2014,0.0,1500.0,0.0,Integrar Comitiva Oficial
"MAYANS, José Miguel Angel",HSN 2717 2014,Uruguay,08-06-2014,10-06-2014,4857.0,0.0,0.0,MERCOSUR
"MORANDINI, Norma Elena",HSN 2570 2014,Perú,08-06-2014,15-06-2014,0.0,1400.0,0.0,PARLATINO
"PILATTI VERGARA, María Inés",HSN 2717 2014,Uruguay,08-06-2014,09-06-2014,3238.0,0.0,0.0,MERCOSUR
"FUENTES, Marcelo",HSN 2814 2014,Estados Unidos,08-06-2014,13-06-2014,0.0,1800.0,0.0,Integrar Comitiva Oficial
"RODRIGUEZ SAA, Adolfo",HSN 2717 2014,Uruguay,08-06-2014,09-06-2014,3238.0,0.0,0.0,MERCOSUR
"URTUBEY, Rodolfo Julio",HSN 2727 2014,Chile,08-06-2014,11-06-2014,6468.0,0.0,0.0,"Reunión ""Desafíos futuros para América Latina en Ciencia y Tecnología"""
"ZAMORA, Gerardo",HSN 2814 2014,Estados Unidos,08-06-2014,13-06-2014,0.0,1800.0,0.0,Integrar Comitiva Oficial
"CIMADEVILLA, Mario Jorge",HSN 2717 2014,Uruguay,09-06-2014,09-06-2014,1619.0,0.0,0.0,MERCOSUR
"GIMENEZ, Sandra Daniela",HSN 2717 2014,Uruguay,09-06-2014,09-06-2014,1619.0,0.0,0.0,MERCOSUR
"MONTERO, Laura Gisela",HSN 2717 2014,Uruguay,09-06-2014,09-06-2014,1619.0,0.0,0.0,MERCOSUR
"PETCOFF NAIDENOFF, Luis Carlos",HSN 2717 2014,Uruguay,09-06-2014,09-06-2014,1619.0,0.0,0.0,MERCOSUR
"ROLDAN, Josè María",HSN 2717 2014,Uruguay,09-06-2014,09-06-2014,1619.0,0.0,0.0,MERCOSUR
"ITURREZ DE CAPPELLINI, Liliana Beatriz",HSN 2570 2014,Perú,10-06-2014,14-06-2014,0.0,1000.0,0.0,PARLATINO
"LINARES, Jaime",HSN 2867 2014,Colombia,12-06-2014,17-06-2014,0.0,1200.0,0.0,Misión de Observación Internacional
"AGUIRRE DE SORIA, Hilda",HSN 3010 2014,México,22-06-2014,27-06-2014,0.0,1500.0,0.0,Encuentro Anual del Grupo de Mujeres Parlamentarias
"CIMADEVILLA, Mario",HSN 3037 2014,Estados Unidos,24-06-2014,28-06-2014,0.0,1500.0,0.0,ONU
"GODOY, Ruperto",HSN 3037 2014,Estados Unidos,24-06-2014,27-06-2014,0.0,1200.0,0.0,ONU
"HIGONET, María de los Angeles",HSN 3037 2014,Estados Unidos,24-06-2014,27-06-2014,0.0,1200.0,0.0,ONU
"DE LA ROSA, María Graciela",HSN 3011 2014,República Dominicana,25-06-2014,30-06-2014,0.0,1000.0,0.0,PARLATINO
"GIUSTINIANI, Rubén",HSN 3037 2014,Estados Unidos,25-06-2014,28-06-2014,0.0,1200.0,0.0,ONU
"KUNATH, Sigrid",HSN 2982 2014,República Dominicana,25-06-2014,29-06-2014,0.0,800.0,0.0,PARLATINO
"ITURREZ DE CAPPELLINI, Ada",HSN 2982 2014,República Dominicana,26-06-2014,30-06-2014,0.0,800.0,0.0,PARLATINO
"NEGRE DE ALONSO, Liliana",HSN 2779 2014,España,02-07-2014,06-07-2014,0.0,0.0,1200.0,Seminario Internacional por el Derecho a la Vida
"ITURREZ DE CAPPELLINI, Liliana Beatriz",HSN 3267 2014,Panamá,04-07-2014,08-07-2014,0.0,1000.0,0.0,PARLATINO
"BERMEJO, Adolfo",HSN 3107 2014,México,06-07-2014,12-07-2014,0.0,1750.0,0.0,Foro Internacional de Vivienda
"CABRAL, Salvador",HSN 3305 2014,Uruguay,06-07-2014,08-07-2014,3255.0,0.0,0.0,MERCOSUR
"MAYANS, José Miguel Angel",HSN 3305 2014,Uruguay,06-07-2014,08-07-2014,4882.0,0.0,0.0,MERCOSUR
"RODRIGUEZ SAA, Adolfo",HSN 3305 2014,Uruguay,06-07-2014,07-07-2014,3255.0,0.0,0.0,MERCOSUR
"ROLDAN, José María",HSN 3305 2014,Uruguay,06-07-2014,07-07-2014,3255.0,0.0,0.0,MERCOSUR
"GIUSTINIANI, Rubén",HSN 3305 2014,Uruguay,07-07-2014,07-07-2014,1627.0,0.0,0.0,MERCOSUR
"GODOY, Ruperto",HSN 3305 2014,Uruguay,07-07-2014,07-07-2014,1627.0,0.0,0.0,MERCOSUR
"PILATTI VERGARA, María Inés",HSN 3305 2014,Uruguay,07-07-2014,08-07-2014,3255.0,0.0,0.0,MERCOSUR
"ROZAS, Angel",HSN 3305 2014,Uruguay,07-07-2014,10-07-2014,4882.0,0.0,0.0,MERCOSUR
"HIGONET, María de los Angeles",HSN 3134 2014,Uruguay,14-07-2014,17-07-2014,6520.0,0.0,0.0,Seminario para Parlamentarios de América Latina
"LINARES, Jaime",HSN 3134 2014,Uruguay,14-07-2014,16-07-2014,4890.0,0.0,0.0,Seminario para Parlamentarios de América Latina
"URTUBEY, Rodolfo Julio",HSN 3134 2014,Uruguay,14-07-2014,16-07-2014,4890.0,0.0,0.0,Seminario para Parlamentarios de América Latina
"BERTONE, Rosana",HSN 3504 2014,Panamá,23-07-2014,27-07-2014,0.0,1250.0,0.0,PARLATINO
"HIGONET, María de los Angeles",HSN 3504 2014,Panamá,23-07-2014,26-07-2014,0.0,750.0,0.0,PARLATINO
"RIOFRIO, Marina",HSN 3591 2014,Estados Unidos,23-07-2014,04-08-2014,0.0,2100.0,0.0,Desarrollo de la Sociedad en el contexto de la Seguridad Internacional
"GARRAMUÑO, Jorge",HSN 3504 2014,Panamá,24-07-2014,01-08-2014,0.0,1600.0,0.0,PARLATINO
"PILATTI VERGARA, María Inés",HSN 3504 2014,Panamá,24-07-2014,27-07-2014,0.0,1000.0,0.0,PARLATINO
