Autoridad,Expediente,Destino,Fecha_salida,Fecha_llegada,Viaticos_pesos,Viaticos_dolar,Viaticos_euro,Motivo,Bloque,Viaticos_Total_Pesos,Viaticos_Total_Dolar
"ROLDAN, José María",HSN 4183 2013,Rusia,16-09-2013,26-09-2013,0.0,2100.0,0.0,International Trade Fair for Tourism Otdykh Leisure,Frente para la Victoria,12043.5,2100.0
"ESCUDERO, Sonia Margarita",HSN 4371 2013,Dominicana,18-09-2013,24-09-2013,0.0,1000.0,0.0,EUROLAT,Justicialista 8 De Octubre,5755.0,1000.0
"HIGONET, María de los Ángeles",HSN 4360 2013,Panamá,14-09-2013,18-09-2013,0.0,1250.0,0.0,Foro Parlamentario Iberoamericano,PJ La Pampa,7812.5,1247.0071827613729
"CORREGIDO, Elena Mercedes",HSN 4360 2013,Panamá,13-09-2013,18-09-2013,0.0,1500.0,0.0,Foro Parlamentario Iberoamericano,Frente para la Victoria,8595.0,1500.0
"LORES, Horacio",HSN 4311 2013,México,26-09-2013,03-10-2013,0.0,1000.0,0.0,Reunión de la Comisión de Salud,Movimiento Popular Neuquino,5785.0,1000.0
"LINARES, Jaime",HSN 4360 2013,Panamá,15-09-2013,18-09-2013,0.0,1000.0,0.0,Foro Parlamentario Iberoamericano,Gen,6250.0,997.6057462090982
"HIGONET, María de los Ángeles",HSN 4645 2013,México,26-09-2013,30-09-2013,0.0,1250.0,0.0,Reunión de Comisiones,PJ La Pampa,7231.25,1250.0
"LATORRE, Roxana",HSN 4720 2013,Suiza,26-09-2013,07-10-2013,0.0,2100.0,0.0,GRULAC,Santa Fe Federal,12148.5,2100.0
"HIGONET, María de los Ángeles",HSN 4720 2013,Suiza,04-10-2013,09-10-2013,0.0,1800.0,0.0,GRULAC,PJ La Pampa,10467.0,1799.9999999999998
"GIUSTINIANI, Rubén Héctor",HSN 4720 2013,Suiza,01-10-2013,09-10-2013,0.0,2100.0,0.0,GRULAC,Partido Socialista,12190.5,2100.0
"LINARES, Jaime",HSN 4720 2013,Suiza,04-10-2013,09-10-2013,0.0,1800.0,0.0,GRULAC,Gen,10467.0,1799.9999999999998
"HIGONET, María de los Ángeles",HSN 5052 2013,Panamá,19-10-2013,21-10-2013,0.0,750.0,0.0,Reuniones de las Comisiones,PJ La Pampa,4687.5,748.2043096568236
"ROLDAN, José María",HSN 5092 2013,Reino Unido de Gran Bretaña,31-10-2013,07-11-2013,0.0,0.0,2100.0,World Travel Market 2013,Frente para la Victoria,17325.0,2928.994082840237
"CORREGIDO, Elena Mercedes",HSN 5191 2013,Reino Unido de Gran Bretaña,27-10-2013,08-11-2013,0.0,1500.0,0.0,Seminario Parlamentario sobre la Reforma Política de Droga,Frente para la Victoria,9375.0,1496.4086193136473
"CASTILLO, Oscar Aníbal",HSN 3875 2013,Polonia,09-11-2013,24-11-2013,0.0,0.0,2100.0,Conferencia Internacional sobre el Cambio Climático,Frente Cívico Y Social De Catamarca,17052.0,2721.787709497207
"ESTENSSORO, María Eugenia",HSN 4914 2013,Colombia,02-11-2013,11-11-2013,0.0,1400.0,0.0,Encuentro Nacional del Teatro Joven y Seminario de Teatro,Coalición Cívica ARI,8750.0,1396.6480446927376
"HIGONET, María de los Ángeles",HSN 5511 2013,Italia,15-11-2013,22-11-2013,0.0,0.0,2100.0,Audiencia del papa Francisco y bomberos americanos,PJ La Pampa,17052.0,2844.370308590492
"MARINO, Juan Carlos",HSN 5585 2013,Panamá,20-11-2013,02-12-2013,0.0,1750.0,0.0,PARLATINO,Unión Cívica Radical,10587.5,1750.0
"FELLNER, Liliana Beatriz",HSN 5621 2013,Panamá,20-11-2013,24-11-2013,0.0,1250.0,0.0,PARLATINO,Frente para la Victoria,7562.5,1250.0
"ITÚRREZ de CAPPELLINI, Ada Rosa Del Valle",HSN 5638 2013,Panamá,21-11-2013,23-11-2013,0.0,750.0,0.0,PARLATINO,Frente Cívico Por Santiago,4545.0,750.0
"CIMADEVILLA, Mario Jorge",HSN 5639 2013,Panamá,21-11-2013,24-11-2013,0.0,1000.0,0.0,PARLATINO,Unión Cívica Radical,6060.0,1000.0000000000001
"ROJKES DE ALPEROVICH, Beatriz",HSN 5874 2013,Uruguay,01-12-2013,03-12-2013,3666.0,0.0,0.0,MERCOSUR,Frente para la Victoria,3666.0,585.1556264964087
"CASTILLO, Oscar Aníbal",HSN 5874 2013,Uruguay,02-12-2013,03-12-2013,1222.0,0.0,0.0,MERCOSUR,Frente Cívico Y Social De Catamarca,1222.0,198.37662337662337
"ROLDAN, José María",HSN 5874 2013,Uruguay,02-12-2013,03-12-2013,1222.0,0.0,0.0,MERCOSUR,Frente para la Victoria,1222.0,198.37662337662337
"MONTERO, Laura Gisela",HSN 5874 2013,Uruguay,02-12-2013,03-12-2013,1222.0,0.0,0.0,MERCOSUR,Unión Cívica Radical,1222.0,198.37662337662337
"GODOY, Ruperto Eduardo",HSN 5874 2013,Uruguay,02-12-2013,03-12-2013,1222.0,0.0,0.0,MERCOSUR,Frente para la Victoria,1222.0,198.37662337662337
"BIANCALANI, Fabio Dario",HSN 5874 2013,Uruguay,01-12-2013,03-12-2013,3666.0,0.0,0.0,MERCOSUR,Frente para la Victoria,3666.0,585.1556264964087
"MAYANS, José Miguel Ángel",HSN 5874 2013,Uruguay,01-12-2013,03-12-2013,3666.0,0.0,0.0,MERCOSUR,Frente para la Victoria,3666.0,585.1556264964087
"GIUSTINIANI, Rubén Héctor",HSN 5874 2013,Uruguay,02-12-2013,03-12-2013,2444.0,0.0,0.0,MERCOSUR,Partido Socialista,2444.0,396.75324675324674
"FELLNER, Liliana Beatriz",HSN 5874 2013,Uruguay,02-12-2013,04-12-2013,3666.0,0.0,0.0,MERCOSUR,Frente para la Victoria,3666.0,595.1298701298701
"CABRAL, Salvador",HSN 5874 2013,Uruguay,30-11-2013,03-12-2013,4888.0,0.0,0.0,MERCOSUR,Frente para la Victoria,4888.0,780.2075019952115
"GIUSTINIANI, Rubén Héctor",HSN 6012 2013,Colombia,09-12-2013,15-12-2013,0.0,1400.0,0.0,Sesión del Foro Anual Parlamentario,Partido Socialista,8750.0,1400.0
"FELLNER, Liliana Beatriz",HSN 6026 2013,Estados Unidos,09-12-2013,14-12-2013,0.0,1800.0,0.0,Sustainable Cities Days,Frente para la Victoria,11250.0,1800.0
"BERMEJO, Rolando Adolfo",HSN 580 2014,Chile,10-12-2013,12-12-2013,4661.0,0.0,0.0,Segundo Foro sobre Viviendas Autoconstruidas Subsidiadas,Frente para la Victoria,4661.0,743.9744612928971
