Autoridad,Año,Bloque,Destino,Expediente,Fecha_llegada,Fecha_salida,Motivo,Viaticos_Total_Dolar,Viaticos_Total_Pesos,Viaticos_dolar,Viaticos_euro,Viaticos_pesos,Duracion_viaje
"ROLDAN, José María",2012,Frente para la Victoria,Estados Unidos,HSN 1678/2012,2012-09-24 00:00:00,2012-09-15 00:00:00,Ecotourism and Sustainable Tourism Conference,2091.3757700205333,10185.0,2100.0,0.0,0.0,9.0
"CANO, José Manuel",2012,Unión Cívica Radical,Colombia,HSN 3436/2012,2012-09-08 00:00:00,2012-09-02 00:00:00,Participación RAP,1195.0718685831619,5820.0,1200.0,0.0,0.0,6.0
"MORANDINI, Norma Elena",2012,Frente Cívico De La Provincia De Córdoba,Uruguay,HSN 3572/2012,2012-09-29 00:00:00,2012-09-26 00:00:00,"Reunión de la Comisión de Educación, Cultura, Ciencia, Tecnología y Comunicación",600.0,2820.0,600.0,0.0,0.0,3.0
"BERMEJO, Rolando Adolfo",2012,Frente para la Victoria,Uruguay,HSN 3572/2012,2012-09-29 00:00:00,2012-09-27 00:00:00,"Reunión de la Comisión de Educación, Cultura, Ciencia, Tecnología y Comunicación",600.0,2820.0,600.0,0.0,0.0,2.0
"BIANCALANI, Fabio Dario",2012,Frente para la Victoria,República Dominicana,HSN 3257/2012,2012-09-20 00:00:00,2012-09-16 00:00:00,Encuentro de Presidentes y Cosecretarios de Parlamentos de Integración Regional de América Latina,796.7145790554414,3880.0,800.0,0.0,0.0,4.0
"MORANDINI, Norma Elena",2012,Frente Cívico De La Provincia De Córdoba,Ecuador,HSN 3570/2012,2012-09-23 00:00:00,2012-09-18 00:00:00,Sesión Ordinaria del Parlamento Indígena de América,400.0,1872.0,400.0,0.0,0.0,5.0
"FERNÁNDEZ, Aníbal Domingo",2012,Frente para la Victoria,Israel,HSN 2512/2012,2012-09-29 00:00:00,2012-09-21 00:00:00,Visita oficial en representación del Honorable Senado al Estado de Israel,2100.0,9849.0,2100.0,0.0,0.0,8.0
"FILMUS, Daniel Fernando",2012,Frente para la Victoria,Canadá,HSN-3573/2012,2012-10-26 00:00:00,2012-10-21 00:00:00,Asamblea de la Unión Interparlamentaria,2091.3757700205333,10185.0,2100.0,0.0,0.0,5.0
"GIUSTINIANI, Rubén Héctor",2012,Partido Socialista,Canadá,HSN-3573/2012,2012-10-28 00:00:00,2012-10-16 00:00:00,Asamblea de la Unión Interparlamentaria,2100.0,9954.0,2100.0,0.0,0.0,12.0
"GIUSTINIANI, Rubén Héctor",2012,Partido Socialista,México,HSN-4160/2012,2012-10-15 00:00:00,2012-10-11 00:00:00,Reunión COPPAL,1250.0,5912.500000000001,1250.0,0.0,0.0,4.0
"LATORRE, Roxana",2012,Santa Fe Federal,Canadá,HSN-3573/2012,2012-10-28 00:00:00,2012-10-14 00:00:00,Asamblea de la Unión Interparlamentaria,2091.3757700205333,10185.0,2100.0,0.0,0.0,14.0
"ESCUDERO, Sonia Margarita",2012,Justicialista 8 De Octubre,Canadá,HSN-3573/2012,2012-10-28 00:00:00,2012-10-18 00:00:00,Asamblea de la Unión Interparlamentaria,2100.0,9954.0,2100.0,0.0,0.0,10.0
"IRRÁZABAL, Juan Manuel",2012,Frente para la Victoria,Canadá,HSN-3830/2012,2012-10-23 00:00:00,2012-10-19 00:00:00,Asamblea Reuniones Conexas,1500.0,7125.0,1500.0,0.0,0.0,4.0
"CORREGIDO, Elena Mercedes",2012,Frente para la Victoria,Venezuela,HSN 4025/2012,2012-10-09 00:00:00,2012-10-05 00:00:00,Elección Presidencial Venezuela,1250.0,5900.0,1250.0,0.0,0.0,4.0
"MORANDINI, Norma Elena",2012,Frente Cívico De La Provincia De Córdoba,Estados Unidos,HSN 4561/2012,2012-11-10 00:00:00,2012-11-03 00:00:00,Diálogo Argentino Americano en el marco del próximo proceso electoral en dicho país,2091.3757700205333,10185.0,2100.0,0.0,0.0,7.0
"NIKISCH, Roy Abelardo",2012,Unión Cívica Radical,Estados Unidos,HSN 4561/2012,2012-11-09 00:00:00,2012-11-03 00:00:00,Diálogo Argentino Americano en el marco del próximo proceso electoral en dicho país,1792.6078028747436,8730.0,1800.0,0.0,0.0,6.0
