id,label,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,modularity_class
67125,camorris13,1,0,1,1.0,0.0,1.0,0
67126,MANICIO15,1,0,1,1.0,0.0,1.0,0
67127,normaliro,0,1,1,0.0,1.0,1.0,0
67128,Dielucero,1,0,1,1.0,0.0,1.0,0
67129,diamantear,1,0,1,1.0,0.0,1.0,0
67130,MuseoMalvinas,1,0,1,1.0,0.0,1.0,0
67131,danielomarrico,1,0,1,1.0,0.0,1.0,0
67132,__NicolasMerino,0,1,1,0.0,1.0,1.0,0
67133,Melodyacosta_,1,0,1,1.0,0.0,1.0,0
67134,OrnePissano,1,0,1,1.0,0.0,1.0,0
67135,dellOroJorge,1,0,1,1.0,0.0,1.0,0
67136,MartiiMolina,1,0,1,1.0,0.0,1.0,0
67137,heyxngelmila,10,0,10,11.0,0.0,11.0,131
67138,negilardi,1,0,1,1.0,0.0,1.0,0
67139,lilyellowgirl,1,0,1,1.0,0.0,1.0,0
67140,getu25,1,0,1,1.0,0.0,1.0,0
67141,AgusIba98,1,1,2,1.0,1.0,2.0,0
67142,GatoJazzzzz,1,0,1,1.0,0.0,1.0,0
67143,bandasoporte,2,0,2,2.0,0.0,2.0,0
67144,tatyanaholt1543,3,2,5,3.0,2.0,5.0,0
67145,dalmaciomera,5,0,5,5.0,0.0,5.0,0
67146,JosAndresOrtiz,1,0,1,1.0,0.0,1.0,0
67147,JuaniVargasCAI,0,1,1,0.0,1.0,1.0,0
67148,EJLandwehr,9,1,10,9.0,1.0,10.0,200
67149,CeLeRoSsoli,1,0,1,1.0,0.0,1.0,0
67150,DarinoMiriam,1,0,1,1.0,0.0,1.0,0
67151,elarequero,3,0,3,3.0,0.0,3.0,0
67152,ultrasayayin,1,0,1,2.0,0.0,2.0,0
67153,AntoOcchi_,4,0,4,5.0,0.0,5.0,0
67154,pouyon22,6,0,6,7.0,0.0,7.0,0
67155,MarianaCaserio,3,0,3,3.0,0.0,3.0,0
67156,89rocitorres,1,0,1,1.0,0.0,1.0,0
67157,wismiss3,1,0,1,1.0,0.0,1.0,0
67158,Imarojo,1,0,1,1.0,0.0,1.0,0
67159,maradi09,1,0,1,1.0,0.0,1.0,0
67160,PruyasMirta,6,0,6,8.0,0.0,8.0,0
67161,patogiacomino,0,1,1,0.0,1.0,1.0,0
67162,joseurtubeyok,3,0,3,3.0,0.0,3.0,0
67163,SuelynaBread,1,0,1,1.0,0.0,1.0,0
67164,martuBallari,23,1,24,28.0,1.0,29.0,91
67165,RobertJSchuster,1,0,1,1.0,0.0,1.0,0
67166,AnitaEsLuz,1,0,1,1.0,0.0,1.0,0
67167,marcosro5,1,0,1,1.0,0.0,1.0,0
67168,Luigi_WTD,6,0,6,7.0,0.0,7.0,0
67169,angelaishere97,1,0,1,1.0,0.0,1.0,0
67170,yfunes24,1,0,1,1.0,0.0,1.0,0
67171,LucassPorti,1,0,1,1.0,0.0,1.0,0
67172,2alawz,1,0,1,1.0,0.0,1.0,0
67173,silviapiazzi,12,0,12,14.0,0.0,14.0,91
67174,LibreDebat,2,0,2,2.0,0.0,2.0,0
67175,ana_maria987,2,0,2,2.0,0.0,2.0,0
67176,GiselCaliba,1,0,1,1.0,0.0,1.0,0
67177,Mammapsych1,2,0,2,2.0,0.0,2.0,0
67178,jonyagostino,1,0,1,1.0,0.0,1.0,0
67179,FlavioAzzaro,4,0,4,10.0,0.0,10.0,0
67180,LouDobbs,2,0,2,2.0,0.0,2.0,0
67181,lauupirro,1,0,1,1.0,0.0,1.0,0
67182,blent_baran,1,0,1,1.0,0.0,1.0,0
67183,KariiJP,2,0,2,2.0,0.0,2.0,0
67184,Braian_Menossi,1,0,1,1.0,0.0,1.0,0
67185,Tizi_Masso,1,0,1,1.0,0.0,1.0,0
67186,gimenez_esme,2,0,2,2.0,0.0,2.0,0
67187,diegovalen31,1,0,1,1.0,0.0,1.0,0
67188,LaloLimonClown,1,0,1,1.0,0.0,1.0,0
67189,54Lilianita,19,0,19,21.0,0.0,21.0,131
67190,Diosanofuemagia,14,0,14,15.0,0.0,15.0,91
67191,MR_ManuelRivero,4,2,6,7.0,5.0,12.0,0
67192,itsmichpervieux,7,0,7,8.0,0.0,8.0,91
67193,emi_martinez13,1,0,1,1.0,0.0,1.0,0
67194,silvanasosita,13,0,13,14.0,0.0,14.0,170
67195,horaciorlarreta,952,55,1007,954.0,55.0,1009.0,133
67196,Wonkitry,1,0,1,1.0,0.0,1.0,0
67197,Li_amarilla,1,1,2,1.0,1.0,2.0,0
67198,IgnaViviani,2,0,2,2.0,0.0,2.0,0
67199,Cyntiab_,1,0,1,1.0,0.0,1.0,0
67200,Paul_Valley,1,0,1,1.0,0.0,1.0,0
67201,Karen_Talleress,1,1,2,1.0,1.0,2.0,0
67202,sueludad,1,0,1,1.0,0.0,1.0,0
67203,hmoooooodyksa,4,0,4,4.0,0.0,4.0,0
67204,LuanaUrh_,1,0,1,1.0,0.0,1.0,0
67205,san_tia_go93,1,0,1,1.0,0.0,1.0,0
67206,CelesteSpinnato,0,1,1,0.0,1.0,1.0,0
67207,Laurrichi,6,1,7,6.0,1.0,7.0,147
67208,edyezm,1,0,1,2.0,0.0,2.0,0
67209,AntoAvalis_,37,0,37,37.0,0.0,37.0,158
67210,juu_almada5,1,0,1,1.0,0.0,1.0,0
67211,laboticaria58,1,0,1,1.0,0.0,1.0,0
67212,loysdisaster,1,0,1,1.0,0.0,1.0,0
67213,mariadoulay,20,1,21,28.0,1.0,29.0,131
67214,susie_azucena,1,0,1,1.0,0.0,1.0,0
67215,JPMessiga,1,0,1,1.0,0.0,1.0,0
67216,Cecilitalopezlo,2,0,2,2.0,0.0,2.0,0
67217,poisongxrl,2,0,2,2.0,0.0,2.0,0
67218,Sandra05Alvarez,1,0,1,1.0,0.0,1.0,0
67219,VickypVirginia,4,0,4,5.0,0.0,5.0,0
67220,RocioAilen34,1,0,1,1.0,0.0,1.0,0
67221,Soytrumposo,1,0,1,1.0,0.0,1.0,0
67222,RachelleLawlor,1,0,1,1.0,0.0,1.0,0
67223,RodriiFortinero,1,0,1,1.0,0.0,1.0,0
67224,kimbo_slice1222,1,0,1,1.0,0.0,1.0,0
67225,ItsPlane2u,1,0,1,1.0,0.0,1.0,0
