Source,Target,weight
341,14059,1.0
341,59655,1.0
342,26141,1.0
342,7799,4.0
343,4204,1.0
344,61492,1.0
345,34901,1.0
345,67251,1.0
345,27673,1.0
345,23455,1.0
345,7017,1.0
345,19456,1.0
345,62630,1.0
345,9704,1.0
345,24398,1.0
346,9863,1.0
346,46202,1.0
346,10973,1.0
347,3057,1.0
348,6712,1.0
348,13239,1.0
349,55322,1.0
350,23600,1.0
351,22479,1.0
352,54273,1.0
352,4097,1.0
352,16271,1.0
352,42148,1.0
352,16597,2.0
352,43762,1.0
353,11906,1.0
354,58139,1.0
355,57805,1.0
356,71065,1.0
357,500,1.0
357,32907,1.0
357,33041,1.0
357,35724,1.0
358,51121,1.0
359,39557,1.0
359,9298,1.0
359,48013,1.0
360,51121,1.0
361,22161,1.0
362,28457,1.0
363,10658,1.0
364,58139,1.0
365,57805,1.0
366,35724,3.0
366,60687,1.0
366,28532,1.0
366,16589,1.0
366,14059,1.0
366,70706,1.0
366,37978,1.0
367,21743,1.0
368,71065,1.0
369,15296,1.0
370,53286,1.0
370,1086,1.0
370,23361,1.0
370,9975,1.0
370,12256,1.0
370,58141,1.0
370,45915,1.0
370,29135,5.0
370,18386,1.0
370,64782,1.0
370,37154,1.0
370,63781,1.0
370,51859,1.0
370,65367,1.0
370,14042,1.0
370,49192,1.0
370,59925,1.0
370,50133,1.0
370,35724,1.0
370,54834,1.0
370,32544,1.0
370,370,2.0
370,42484,1.0
371,48813,1.0
372,22094,1.0
372,35724,1.0
372,39290,1.0
373,69586,1.0
374,5889,1.0
374,39497,1.0
375,58139,1.0
376,39095,1.0
377,14042,1.0
377,25637,1.0
378,59321,1.0
379,57805,1.0
380,22161,1.0
381,52613,1.0
382,28974,1.0
382,22362,1.0
382,38000,1.0
382,8212,1.0
383,58139,1.0
384,62992,2.0
385,64732,1.0
385,11671,1.0
385,45420,2.0
385,46987,1.0
385,19681,1.0
385,52131,1.0
385,17602,1.0
385,59744,1.0
385,26141,3.0
386,35742,1.0
387,26141,1.0
387,60255,1.0
388,59497,1.0
389,40202,1.0
390,26141,1.0
390,36632,1.0
391,55299,1.0
391,49871,1.0
391,15296,1.0
391,50335,1.0
391,59655,1.0
391,15144,1.0
391,27630,1.0
391,39009,1.0
391,35724,10.0
391,47390,1.0
391,50405,1.0
391,500,3.0
391,14059,1.0
391,11756,1.0
391,48212,1.0
391,39290,2.0
392,22890,1.0
393,40741,1.0
394,26978,1.0
394,34346,1.0
394,4892,1.0
394,21404,1.0
394,46806,2.0
394,65392,1.0
394,7789,1.0
394,66711,1.0
394,3704,1.0
394,39882,1.0
394,54627,1.0
394,3186,1.0
394,34262,1.0
394,57471,1.0
394,23071,1.0
394,49066,1.0
394,6703,1.0
395,22161,1.0
396,21338,1.0
397,22161,1.0
398,62374,1.0
398,28292,1.0
398,68829,1.0
398,67195,1.0
398,12581,1.0
399,56252,1.0
399,13069,1.0
400,500,2.0
401,5889,1.0
402,70074,1.0
402,44415,1.0
403,11445,1.0
404,33214,1.0
404,35334,1.0
405,37237,1.0
405,5701,1.0
405,12886,1.0
405,26565,1.0
405,57714,1.0
406,50117,1.0
407,57805,1.0
408,20316,1.0
409,26141,1.0
410,39520,1.0
411,35952,1.0
412,19964,1.0
413,55244,1.0
413,66046,1.0
414,5889,1.0
415,54429,1.0
415,41707,1.0
415,33579,1.0
415,11736,1.0
415,4359,1.0
415,26141,1.0
416,30211,1.0
416,23383,1.0
416,14229,1.0
416,60517,2.0
416,10973,1.0
416,7273,1.0
416,5224,1.0
416,27929,1.0
416,46202,1.0
417,17581,1.0
418,58139,1.0
419,58199,1.0
420,26141,3.0
421,52146,1.0
422,26141,1.0
422,46987,1.0
423,59462,1.0
423,62335,1.0
423,33862,1.0
424,3220,1.0
425,67725,1.0
426,26141,1.0
427,52146,1.0
428,5889,1.0
429,14629,1.0
429,60687,1.0
429,14059,1.0
429,48445,1.0
429,52176,1.0
430,14042,1.0
431,62481,1.0
432,17349,1.0
432,45643,1.0
432,30227,1.0
432,9933,1.0
432,1718,1.0
432,66442,1.0
432,34293,1.0
432,25394,1.0
432,58934,1.0
432,49809,1.0
432,57293,1.0
432,2350,1.0
432,18635,1.0
432,54978,1.0
432,39768,1.0
432,32594,1.0
432,9903,1.0
432,67470,2.0
433,15817,1.0
434,500,1.0
435,13044,1.0
435,28348,1.0
435,5736,1.0
436,22161,1.0
437,31328,1.0
438,1074,1.0
439,58139,1.0
440,26141,1.0
441,21743,1.0
442,71065,1.0
443,18944,1.0
443,69023,1.0
443,50872,1.0
444,20870,1.0
445,54944,1.0
445,13265,1.0
445,54613,1.0
445,65616,1.0
445,55588,1.0
445,43433,1.0
445,58139,1.0
446,48212,1.0
447,19964,1.0
448,54455,3.0
448,39290,2.0
448,47450,1.0
448,22055,1.0
448,49092,1.0
448,19389,1.0
448,26698,1.0
448,59573,2.0
448,22890,1.0
448,62271,1.0
448,35724,2.0
448,38768,1.0
448,14042,2.0
448,27558,1.0
448,14059,1.0
448,65827,1.0
448,50133,1.0
448,32252,1.0
448,63931,1.0
449,45357,2.0
450,3057,1.0
451,58199,1.0
452,14629,1.0
453,22161,1.0
454,65629,1.0
455,52620,1.0
455,42452,1.0
455,23478,1.0
455,39640,2.0
456,5670,1.0
456,45104,1.0
456,46555,1.0
456,63695,1.0
456,38625,1.0
456,9263,1.0
456,15091,1.0
456,21663,1.0
456,37204,1.0
456,9194,1.0
457,50619,1.0
457,59160,1.0
457,60412,1.0
457,6891,1.0
457,32798,1.0
458,57624,1.0
459,5508,1.0
459,62034,1.0
459,2381,1.0
459,27291,1.0
459,2161,3.0
459,48309,1.0
459,49055,1.0
459,26141,1.0
460,52395,1.0
461,48144,1.0
461,13139,1.0
462,18172,1.0
462,47100,1.0
462,32907,1.0
462,23229,1.0
462,35724,2.0
462,19113,1.0
462,11756,1.0
462,39290,1.0
463,14519,1.0
463,67614,1.0
464,2506,1.0
464,17509,1.0
465,26141,1.0
466,15983,1.0
467,57534,1.0
467,62865,1.0
467,70363,1.0
467,5889,1.0
467,55345,1.0
467,1709,1.0
468,66864,1.0
469,30551,2.0
